Pergunta,Tema,opção A,opção B,opção C,opção D,Resposta correta,Explicação
"A company has authorized a dedicated change control board (CCB) to review and evaluate all change requests that are submitted for any project.  If the project sponsor is a member of the CCB, which of the following best describes an individual or group that can request a change on a project?",Integration Management, Project manager , Project sponsor , Project team , Any stakeholder ,D,"Changes may be requested by any stakeholder involved with the project and may occur at any time throughout the project life cycle. The project manager, the project sponsor, and the project team are all project stakeholders and therefore, can request changes. All of the answer choices are technically correct, but the option of 'any stakeholder' provides a complete answer and is, therefore, the best answer to the question. Additionally, the fact that the company authorizes a change control board (CCB) and the project sponsor is its member is irrelevant to the question asked. It is essential to discern the relevant information of a question to select the best answer of the choices given."
One of your contractors is not performing to the agreed-upon standards. You want to terminate the contract and engage another contractor for the same job. You need to determine the specific legal procedure for the early termination of the contract.  What should you do?,Procurement Management, Check the procurement management plan , Look at the scope statement , Review the risk register , Consult the contract ,D,"The contract is the document you would refer to in order to understand the early termination procedure. A contract is a mutually binding agreement that obligates the seller to provide the specified deliverable. It constitutes a legal relationship. The early termination of a contract is a special case of the Control Procurements process that can result from an agreement by both parties, from the default of one party, or for the convenience of the buyer if provided for in the contract. The rights and responsibilities of the parties in the event of an early termination are contained in the termination clause of the contract. "
"A project is divided into four sequential phases. The second phase of the project has just been completed, and the third phase is about to begin.  What should the project manager do first?",Stakeholder Management, Begin the process of directing and managing the project work , Perform the process of identifying the project stakeholders , Start the process of monitoring and controlling the project work , Begin the process of developing the project management plan ,B,"The process of identifying project stakeholders occurs for the first time in a project either before or at the same time the project charter is developed and approved. It is repeated as necessary but should be performed at the start of each phase and when a significant change in the project or organization occurs. Each time the identification process is repeated, the project management plan components and project documents should be consulted to identify relevant project stakeholders."
"An organization has a project management office (PMO) that ensures all relevant project documents are created, and all project management processes are followed according to established best practices.  What should the project manager review first to identify stakeholders for a newly started project?",Stakeholder Management, The business documents as a source of information about the project's stakeholders , The communications management plan to learn about the project's stakeholders , The stakeholder engagement plan to identify the management strategies and actions required to engage stakeholders effectively , The requirements documentation for information on potential stakeholders ,A,"The business documents include the business case and the benefits management plan. Both of these documents are created during pre-project work and are available as sources of information about the project's stakeholders during the first iteration of the Identify Stakeholders process. The business case identifies an initial list of stakeholders affected by the project. The benefits management plan may identify the individuals and groups that will benefit from the delivery of the outcomes of the project and are thus considered as stakeholders. Among the available options, only the business documents are available as sources of relevant information during the first iteration of the Identify Stakeholders process."
"A project manager is in the process of developing the stakeholder register. As the first step in this process, she needs to create a list of potential stakeholders and decides to use a data gathering technique called brain writing.   What is the first thing to do when using that technique?",Stakeholder Management, Convene a data gathering meeting with the participants ,Develop your own template for a stakeholder register, Send a list of questions to participants before the creativity session , Consult the stakeholder engagement plan to understand how the stakeholders are to be identified ,C,"Data gathering techniques that can be used for the Identify Stakeholders process include questionnaires and surveys, brainstorming, and brain writing. Brain writing is a refinement of brainstorming that allows individual participants time to consider the questions individually before the group creativity session is held. Therefore, the first step of brain writing is providing the participants with the questions before the creativity session. This process will allow the participants to be better prepared which will make the meeting more effective than a traditional brainstorming session."
"A project manager does most of her communicating with team members, internal project stakeholders, and external project stakeholders via email. The project manager incorporates specific techniques when composing her emails to reduce any misunderstandings.  Which of the following is not considered one of these techniques?",Communications Management, Concise expression , Clear purpose directed to the needs of the reader , Controlled flow of words and ideas , Communications register ,D,"The scenario describes the use of techniques that will aid in the reduction of misunderstandings in written communication specifically. These techniques are known as the 5Cs of written communication:      Correct grammar and spelling     Concise expression and elimination of excess words     Clear purpose and expression directed to the needs of the reader     Coherent, logical flow of ideas     Controlled flow of words and ideas  However, the question asks which answer is 'not' a technique that will aid in the reduction of misunderstandings in written communication, or in other words, which answer is not one of the 5Cs of written communication. 'Communications register' is not one of the 5Cs components. Actually, 'communications register' is a made-up term.  Note, the term 'tools and techniques' used in this question to describe the 5Cs does not refer to the traditional meaning of tools and techniques of the project management processes. We are using this term as we consider it to be a reasonable description of the components comprising the 5Cs."
"As the project manager, you are leading a brainstorming session with key stakeholders to identify project risks. Once the project risks are determined, you immediately proceed to nominate different team members as risk owners and assign them the task of developing individual risk response plans.  Have you properly conducted risk management planning?",Risk Management," No, you should be the one developing the risk response plans as you are ultimately responsible for the outcomes of the project. "," Yes, the risk response plans are an output of the Identify Risks process and should be developed right after the risks have been identified. "," No, before assigning risk responsibility to team members, you need to assess each risk's probability of occurrence and its impact. "," Yes, the team members should be assigned responsibility for a risk as soon as possible and tasked with creating a risk response plan. ",C,"To answer this question correctly, you need to understand what process the project team is currently performing. In this scenario, you have identified project risks and therefore have finished creating the initial version of the risk register. This conclusion means that you have completed the Identify Risks process, which is one of the planning processes in the Project Risk Management Knowledge Area. According to the PMBOK? Guide, project risk management processes occur in the following order: 1. Plan Risk Management 2. Identify Risks 3. Perform Qualitative Risk Analysis 4. Perform Quantitative Risk Analysis 5. Plan Risk Responses 6. Implement Risk Responses 7. Monitor Risks. Your next step is, therefore, to move into the Perform Qualitative Risk Analysis process, which is the process where you will prioritize risks for further analysis or action by assessing and combining their probability of occurrence and impact. The Perform Qualitative Risk Analysis process and, if needed, the Perform Quantitative Risk Analysis process should be done after the Identify Risks process in order to properly identify the risks on which to focus and plan. Only then should team members be assigned risk ownership. Assigning risk ownership to team members before determining which risks are the most likely to occur and impact the project is not an efficient use of resources and is not the proper protocol outlined in the PMBOK? Guide."
"You are managing a project to build a database and need to acquire information from the stakeholders of the project. The team is using brainstorming, focus groups, interviews, questionnaires, and benchmarking to understand and document the stakeholders' needs.  The methods the team is using are representative of which tool and technique?",Scope Management,Data gathering, Data analysis , Decision making , Data representation ,A,"The project described in the scenario is in the Collect Requirements process where project stakeholders' needs and requirements are determined and documented. A tool and technique used in the Collect Requirements process to elicit requirements from stakeholders is data gathering. Data gathering includes brainstorming, focus groups, interviews, questionnaires, surveys, and benchmarking."
"The project is in execution, but your project team is unable to stop arguing about the project milestones and the specific risks associated with them. This on-going conflict puts the project at risk of running behind schedule.  What would likely have helped avoid this conflict had it been properly created first?",Scope Management, A project charter , Physical resource assignments , Quality metrics , A work breakdown structure ,D,"The WBS is considered by many project managers to be the heart of the projects lead by a predictive project management approach since a WBS lists the total scope of work to be carried out by the project team to accomplish the project objectives and create required deliverables. The milestone list is an output from the Define Activities process to which the WBS serves as an input (as part of the scope baseline). The risk register is an output from the Identify Risks process to which the WBS serves as an input (as part of the scope baseline) used as a framework to structure risk identification techniques. Had the project manager and the team taken the time to create a proper WBS, it is likely the team would have had a more accurate milestone list and risk register with which to finish their project management plan on time and avoid the conflict described in the scenario."
"During project execution, the team discovers that some of the buttons on the remote control developed by the project for a new product do not work according to the specifications. A change request is submitted and approved to replace the buttons.  Which of the following best describes this change request?",Scope Management, Corrective action , Preventive action , Defect repair , Gold plating ,C,"Approved change requests can be a corrective action, a preventive action, or a defect repair. The question reads, ""some of the buttons on the remote control developed by the project for a new product do not work according to the specifications"". This scenario is an example of a defect repair since it involves taking immediate action to correct a defective product component that does not meet product specifications. The performing organization is neither taking preventive action nor addressing a deviation (corrective action) from the agreed-upon project baselines. Gold plating does not apply here since the organization is adding extra buttons to the remote control unit not as a means of enhancing the product or making the customer happy, but as a means of meeting product specifications."
"A project manager meets with a customer for initial discussions about an upcoming project. At the end of the meeting, the customer asks the project manager for a rough estimate of the project duration. Based on her experience with three similar projects, the project manager provides an estimate of 8-10 months.  What estimation technique does the project manager use?",Schedule Management, Expert judgment , Three-point estimating , Analogous estimating , Bottom-up estimating ,C,The project manager is using historical duration information from comparable projects to estimate the duration of a future project. This gross value estimating approach is called analogous estimating and is frequently used to provide a ballpark figure when there is a limited amount of detailed information available about the project.
"A project manager is performing quality assurance for a project whose quality standards are very stringent. In order to meet and exceed the quality requirements, the project manager uses a set of technical guidelines, which were applied during the design phase of the project to optimize quality.  What tool or technique is the project manager using in this scenario?",Quality Management,Design for X (DfX) where the X in DfX represents the quality aspect of the product, Design of experiments (DOE) as a quality improvement methodology , The Manage Quality process to ensure compliance with project quality requirements , Process analysis to identify opportunities for process improvements ,A,"The question implies that the Manage Quality process, sometimes referred to as quality assurance, is underway. Design for X (DfX) is one of the tools and techniques which may be used during the Manage Quality process. DfX is a set of technical guidelines that may be applied during the design of a product for the optimization of a specific aspect of the design. DfX can control or even improve the product's final characteristics. The X in DfX can be different aspects of product development which can include but are not limited to quality improvement."
"You have compiled a list of potential stakeholders for your project, and now you are classifying the stakeholders with regard to the direction of their influence. As you work through your way down the list of stakeholders, you have come to the project sponsor.  How should this stakeholder be classified?",Stakeholder Management, Downward , Sideward , Outward , Upward ,D,"According to the scenario, you are carrying out the Identify Stakeholders process. Directions of influence is an example of a data representation technique that can be used as part of this process. This technique classifies stakeholders according to their influence on the work of the project or the project team itself. Stakeholders can be classified as upward, downward, outward, or sideward. The upward classification includes senior management of the performing organization or customer organization, sponsor, and steering committee. Therefore, the project sponsor should be classified as upward."
"During project planning, the project team rigorously defined the project scope. During project execution, a senior engineer calls the project manager and suggests a simpler and more efficient design which could benefit the project.  What should the project manager do next?",Scope Management," Nothing, no changes are needed since the project scope was rigorously defined ", Discuss the change with the project sponsor , Evaluate the impact of the proposed change on the project constraints , Ask that the engineer submit a change request ,D,"A change request is a document to record an adjustment to project scope, schedule, cost, etc. Changes may include corrective action, preventive action, or defect repair, among others. The engineer is proposing what she believes to be a valid design change which can be further evaluated by the change control board. Although changes may be initiated verbally, they should be recorded in written form and entered into the change management and/or configuration management system. Thus, of the available choices, asking the engineer to create and submit a change request is what the project manager should do next, and is, therefore, the best answer to the question asked.  One may argue that evaluating the change should come before submitting the change request. We had an extensive debate on the subject of change requests in general and on this question in particular. The reason being is that the PMBOK� Guide does not do a good job in explaining the exact process in detail. We have discussed this process among our team of certified project management professionals and have concluded that the first thing that should be done when a change is requested on a project is the physical creation of the change request, a document if you wish, filling out a form. Otherwise, on what basis would a project manager and the project team spend time evaluating a request that is not even documented?"
"You are working with a team to estimate how much time is required for each activity. You are using a document that contains information on the categories of labor, material, and equipment required to complete the project. You are also interested in the skill levels, required certifications, and the grade levels for supplies.  Which of the following documents would you primarily refer to for this purpose?",Schedule Management, Resource breakdown structure , Organizational breakdown structure , Work breakdown structure , Risk breakdown structure ,A,"Based on the scenario described, the project team is performing the Estimate Activity Durations process. An input to this process is the resource breakdown structure (RBS), which is a hierarchical list of team and physical resources related by category and resource type that is used for planning, managing, and controlling project work. Each descending level represents an increasingly detailed description of the resource until the information is small enough to be used in conjunction with the WBS to allow the work to be planned, monitored, and controlled."
"While performing project work, a team member notices that there is a potential new risk, which could impact the project's critical path.  What should the team member do immediately?",Risk Management,Recommend the project be placed on hold for a day to avoid the risk, Document the risk in the risk register , Draft an emergency fallback plan since the critical path is in jeopardy , Generate a risk report using quantitative and quantitative analysis of the identified risk to alert the team of the schedule impacts ,B,"By recording identified risks in the risk register, the project manager and team are able to keep track of all potential threats and opportunities. Furthermore, once a risk has been analyzed using qualitative and or quantitative risk analysis methods, the risk register serves as the central repository for planned risk responses and lists risk owners. As such, any time a new risk emerges on a project, the first step to take is to immediately document it in the risk register."
"You are managing a project that is nearing its end and planning to settle all pending claims with the vendors. In one case, you are not satisfied with the delivery of their final product. All conversations with the vendor have ended in an impasse.  What should you do in this situation?",Procurement Management, Pay the vendor as some products were delivered, Take the vendor to court, Discontinue further meetings with the vendor and hold back payment , Identify some form of alternative dispute resolution ,D,"Contested charges where the buyer and seller cannot reach an agreement are called claims. The contract usually has terms to handle claims administration. If the parties cannot resolve the claim, it should be handled by alternative dispute resolution (ADR), typically following procedures established in the contract. There are two types of ADR, arbitration and mediation. Direct negotiation between the parties is the preferred method. Litigation in the courts is the last option that a project manager should choose. Based on the scenario described, the project manager has negotiated directly with the seller. However, all conversations have ended in an impasse. In this situation, the next step for the project manager to take is to identify some form of alternative dispute resolution."
Your company was awarded a contract that includes a 10% bonus payment if the project is completed two months early. You consider several options to exploit this opportunity.  What is the best course of action for you to increase the chances of receiving the bonus?,Risk Management, Reduce project scope , Level resources , Crash the schedule , Purchase insurance ,C,"This question involves two project management Knowledge Areas, Risk Management and Schedule Management. Crashing is an example of a schedule compression technique that can be used during the Develop Schedule process. This technique may help exploit the opportunity by adding more resources to the critical path. The processes of the Project Risk Management Knowledge Area aim to develop options and strategies to capture opportunities (positive risks) and minimize the effects of threats (or negative risks). In the scenario described, you have been presented with a chance to collect a bonus payment for early project completion. A contingency reserve including amounts of time, money, or resources to take advantage of the opportunity should be established. The opportunity to collect the bonus payment is within reach; therefore, the best course of action in this situation is to crash the schedule to shorten the critical path."
The quality management plan specifies the use of a data representation technique to show the strength of relationships between four factors.  Which of the following tools or techniques should be used to comply with the plan?,Quality Management,Affinity diagram, Matrix diagram , Scatter diagram , Quality diagram ,B,"A matrix diagram seeks to show the strength of relationships among factors, causes, and objectives that exist between the rows and columns that form the matrix. Depending on how many factors may be compared, the project manager can use different shapes of matrix diagrams; for example, L, T, Y, X, C, and roof-shaped. An X-shaped matrix can display four factors for comparison which is what required by the question, making the matrix diagram the best answer of those provided."
You have just taken over a project in which some of the deliverables will be produced by external vendors. You want to familiarize yourself with those who are involved in the project from the sellers' side.  Where would you look to obtain this information?,Stakeholder Management, Bid documents , Stakeholder register , Seller proposals , Stakeholder engagement plan ,B,"The stakeholder register is a project document that contains relevant information regarding stakeholder interests, involvement, interdependencies, influence, and potential impact on project success. Vendors are project stakeholders and as such should be included in the stakeholder register. The project manager and project team members should refer to this document when obtaining pertinent information about project stakeholders whether the stakeholders are internal or external to the performing organization."
Your project has been plagued with numerous change requests.  What is the most likely reason?,Stakeholder Management, Incomplete stakeholder register , Lack of a detailed procedure to close the project , Failure to implement risk responses , Change management plan did not authorize a change control board ,A,"Academic research and analyses of high-profile project disasters highlight the importance of a structured approach to the identification, prioritization, and engagement of all stakeholders. The ability of the project manager and team to correctly identify and engage all stakeholders in an appropriate way can mean the difference between project success and failure. The stakeholder register is a project document where information about identified stakeholders is recorded. This document includes the stakeholders' main requirements and expectations for the project. Failure to appropriately identify key stakeholders early enough in the project could result in an incomplete stakeholder register and a project with numerous change requests submitted by stakeholders as they are identified."
"In the design phase, external experts verified that the team's blueprints for a new crane complied with requirements. During the build phase, the customer performed a walkthrough and found that some welding joints on the crane were defective. The crane needs to be reworked to ensure it can be operated safely.  How could this situation have been avoided?",Quality Management, Outsourcing the welding to an external vendor , Testing the welding before the customer walkthrough , Using the requirements traceability matrix , Defects are part of any project and cannot be avoided. ,B,"The question describes a situation in which the project team completed the design phase of the project and began building the product. However, it appears the team did not sufficiently test the work done on the welding, which is part of the Control Quality process. This process is carried out to ensure the project outputs are complete, correct, and meet customer expectations before the customer accepts the deliverables as part of the Validate Scope process. As a result of not performing the Control Quality process, defects were found in the crane when the customer held a walkthrough. If the team carried out the Control Quality process properly, it is likely the defective welding would have been discovered, corrected, and the situation described in the scenario avoided."
"For an upcoming project, a needs assessment and business case have been completed, and the project management office (PMO) is reviewing a draft of the benefits management plan. The PMO highlights an element of the benefits management plan and requests that the element be removed before the document is finalized.  Which of the following was most likely the element the PMO requested to remove?",Integration Management, Expected tangible and intangible value to be gained by the implementation of the project , A set of options to be considered for addressing the business opportunity , A timeframe for realizing the benefits of the project , Measures to be used to show benefits realized ,B,"The key elements of a benefits management plan include target benefits, strategic alignment, a timeframe for realizing benefits, benefits owner, metrics, assumptions, and risks. Identification of a set of options to be considered for addressing the business problem or opportunity is a key element of the project business case and should not be included in the benefits management plan. This element is most likely what was marked for removal by the PMO."
"To define the product that will be produced by the project, the project team is using a product analysis technique that helps with breaking down the high-level requirements into the level of detail needed to design the product.  Which of the following is the product analysis technique used by the team?",Scope Management, Work breakdown structure , Product planning , Progressive elaboration , Product breakdown ,D,"Product analysis can be used as a tool to define the scope of a project. It involves methods for translating high-level product or service descriptions into meaningful deliverables. Requirements are captured at a high level and decomposed to the level of detail needed to design the final product and define the scope. Examples of product analysis techniques include product breakdown, requirements analysis, systems analysis, systems engineering, value analysis, and value engineering. In the scenario described, the team breaks down the high-level requirements into the level of detail needed to design the product, which corresponds to the product breakdown technique, making it the best answer among the choices given."
